Etape worflow,données,origine,nom du champs,Candidate / audit initial,Labellisée / renouvellement,Groupe,Fille,format de la donnée,visibilité,"annule
remplace",historisation,ADHERENT,outils/tableau,SGS,Outils,ECOCERT,outils
,Sous-traitance,adhérent,Part du CA en sous-traitance totale,100,13,43,30,%,tous,oui,oui,oui,dossier de candidature,,,,
,Sous-traitance,adhérent,Part du CA en sous-traitance France,75,13,14,30,%,tous,oui,oui,oui,dossier de candidature,,,,
,Sous-traitance,adhérent,Part du CA en sous-traitance Europe,100,,86,30,%,tous,oui,oui,oui,dossier de candidature,,,,
,Sous-traitance,adhérent,Part du CA en sous-traitance Hors-Europe,0,,"0,1",,%,tous,oui,oui,oui,dossier de candidature,,,,
,Négoce,adhérent,Expliciter la nature de la partie en négoce au sein de vos activités,pas de négoce,,oui,,,tous,oui,oui,oui,dossier de candidature,,,,
,Négoce,adhérent,Part du CA de la négoce totale,0,,25,,%,tous,oui,oui,oui,dossier de candidature,,,,
,Négoce,adhérent,Part du CA de la négoce France,0,,13,,%,tous,oui,oui,oui,dossier de candidature,,,,
,Négoce,adhérent,Part du CA de la négoce Europe,0,,12,,%,tous,oui,oui,oui,dossier de candidature,,,,
,Négoce,adhérent,Part du CA de la négoce Hors-Europe,0,,0,,%,tous,oui,oui,oui,dossier de candidature,,,,
,Produits,adhérent,Part en volume des produits alimentaires ?,100,100,100,0,%,tous,oui,oui,oui,dossier de candidature,,,,
,Produits,adhérent,Par en volume des produits non-alimentaires ?,0,0,0,100,%,tous,oui,oui,oui,dossier de candidature,,,,
,Produits,adhérent,Quelle(s) est(sont) la nature de vos produits ?,Création et commercialisation de produits nutritifs naturel,Production et commercialisation de cidres,Transformation et commercialisation de denrées alimentaires snacking asiatiques,"Fabrication, transformation de kit couvertsen plastique",texte,tous,oui,oui,oui,dossier de candidature,,,,
,Produits,adhérent,Combien de gamme proposez-vous ?,7,5,12,1,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Produits,adhérent,Sous quelle(s) marque(s) est (sont) commercialisée(s) vos produits (dans le périmètre de labellisation) ?,Marque Alpha,Marque Beta et Beta Premium,"Marque Omega, Zeta, Snck'Omega",Zeta pack,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Périmètre de labellisation,adhérent,"Quel est le périmètre souhaité ?
(rédiger une descriptions des activités (fabrication, conditionnement, entreposage, distribution) en propre, sous-traitance, négoce, puis une description des produits, et enfin le ou les lieux (site).","Création de produits nutritifs et naturels, activité de production sous-traitée à 100% avec maîtrise du cahier des charges. Conditionnement et logistique sous-traités à 100% avec maîtrise du cahier des charges.",,,"Fabrication, transformation de kit couvertsen plastique sur le site de Fréjus",texte,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,Quel est le nombre de salariés au siège ?,5,20,102,3,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,dont personnel administratif,1,12,102,2,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,dont personnel de production,0,125,137,15,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,nombre total de salariés de l'ensemble du périmètre souhaité,8,160,239,18,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,présence d'un CSE,non,oui,oui,non,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Salariés,adhérent,"ressources allouées à la RSE
(equivalent homme/an)","0,5",,2,1/4,nombre,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,Labellisation biologique,oui,non,non,non,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,Labellisation QSE en place,,IFS,IFS,ISO9001,ISO9001 / ISO 14001 / BRC /IFS,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,autre labellisation QSE,,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,Labellisation RSE en place,,,,,BioED / Bretagne 26000 / B-Corp,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,autre labellisation RSE,,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,Labellisation équitable en place,,,,,FFL-FL / Bio Equitable en France / Biopartenaire / AgriEthique France,tous,oui,oui,oui,dossier de candidature,,,,
,Activités biologiques,adhérent,autre labellisation équitable,,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Mois d'audit souhaité,adhérent,Date cible d'audit (mois. L'audit à lieu annuellement à la période de réalisation du 1er audit),déc.-25,,,,MM/AAAA,tous,oui,oui,oui,dossier de candidature,,,,
,Choix organisme évaluateur,adhérent,Choix d'organisme évalateur,SGS,Ecocert,Ecocert,Ecocert,Ecocert/SGS/compétition,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Extrait KBIS,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Déclaration URSSAF,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Auto-évaluation PME+,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Liste de bonnes pratiques RSE,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Organigramme et schéma de gouvernance de l'entreprise,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,"Présentation de l'entreprise (CA, marchés, historique, etc.°",,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Politique - charte d'engagement RSE,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Rapport développement durable,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Copie de vos certificats en cours de validité,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Documents à transmettre,adhérent,Annexes des sites secondaires si multisite,,,,,document,tous,oui,oui,oui,dossier de candidature,,,,
,Date de la demande de candidature,adhérent,Date de la demande de candidature,,,,,JJ/MM/AAA,tous,oui,oui,,,,,,
,Date de la demande de candidature,adhérent,Nom du signataire,,,,,texte,tous,oui,oui,,,,,,
,Date de la demande de candidature,adhérent,Prénom du signataire,,,,,signature,tous,oui,oui,,,,,,
,Date de la demande de candidature,adhérent,Fonction du signataire,,,,,texte,tous,oui,oui,,,,,,
,Date de la demande de candidature,adhérent,Signature ,,,,,signature,tous,oui,oui,,,,,,
,Eligibilité,FEEF,"Être une entreprise TPE, PME ou ETI française dirigée par des entrepreneurs présents au capital, ou une entreprise indépendante européenne avec des entrepreneurs présents au capital et qui dispose d’une filiale en France qui facture, paye des impôts et créé des emplois en France.",oui,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Eligibilité,FEEF,Être une entreprise adhérente de la FEEF,oui,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Eligibilité,FEEF,"Être une entreprise fournisseur de la GD, RHD, GSS, circuits spécialisé, e-commerce",oui,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Eligibilité,FEEF,Être une entreprise attachée à des pratiques éthiques et responsables,oui,oui,oui,oui,oui/non,tous,oui,oui,oui,dossier de candidature,,,,
,Eligibilité,FEEF,commentaires,,,,,texte,tous,oui,oui,oui,dossier de candidature,,,,
,Eligibilité,FEEF,L’entreprise candidate est-elle éligible au label PME+ ?,oui,oui,oui,oui,oui/non,tous,oui,oui,,,,,,
,Eligibilité,FEEF,Nom Signataire,BARROIS,BARROIS,BARROIS,BARROIS,texte,tous,oui,oui,,,,,,
,Eligibilité,FEEF,Prénom signataire,Katrin,Katrin,Katrin,Katrin,texte,tous,oui,oui,,,,,,
,Eligibilité,FEEF,Signature ,,,,,signature,tous,oui,oui,,,,,,
,Eligibilité,FEEF,Date validation dde l'élgibilité,10/8/2025,20/1/2025,20/12/2024,11/11/2024,JJ/MM/AAA,tous,oui,oui,oui,dossier de candidature,,,,
,Partage du dossier de candidature,FEEF,Partage du dossier de candidature,SGS,Ecocert,Ecocert,Ecocert,Ecocert/SGS/compétition,,,,,,,,,
Engagement,Etude dossier,OE,Envoi du devis / proposition de contrat,,,,,JJ/MM/AAA,tous,,,,,oui,ContractsReport/Proposal Created Date,,
,Responsable OE,OE,Nom du chargé d'affaires,,,,,texte,tous,,,,,oui,ContractsReport/Customer services person ou Sales Responsible,,
,Responsable OE,OE,Prénom du chargé d'affaires,,,,,texte,tous,,,,,non,ContractsReport/Customer services person ou Sales Responsible,,
,OE,adhérent,Nom de l'OE sélectionné,SGS,ECOCERT,Ecocert,Ecocert,ECOCERT/SGS,tous,,,,,,,,
,Contrat de labellisation,FEEF,Envoi du contrat de labellisation,1/8/2025,3/1/2025,30/11/2024,4/11/2024,JJ/MM/AAA,Adhérent/FEEF,,,,,,,,
,Contrat Organisme évaluateur,adhérent,contrat de prestation OE signé,,,,,document,Adhérent/OE,,,,,,,,
,Contrat Organisme évaluateur,adhérent,contrat de prestation OE signé,20/8/2025,15/2/2025,5/1/2025,30/11/2024,JJ/MM/AAA,tous,,,,,,,,
,Contrat de labellisation,adhérent,contrat de labellisation signé,,,,,document,Adhérent/FEEF,,,oui,workflow,,,,
,Contrat de labellisation,adhérent,contrat de labellisation signé,10/8/2025,20/1/2025,20/12/2024,11/11/2024,JJ/MM/AAA,tous,,,oui,workflow,,,,
Préparation audit,Type d'audit,OE,Type d'audit,Initial,renouvellement,renouvellement,documentaire,Audit initial / Audit de suivi documentaire / Audit de suivi physique / audit de renouvellement / Audit de surveillance,tous,,,,,oui,SchedulingReport/Visit type,oui,Extract / Audit type name
,date de début d'audit planifiée,OE,Date de début d'audit planifié,10/9/2025,1/3/2025,4/2/2025,15/1/2025,JJ/MM/AAA,tous,,,,,oui,SchedulingReport/Scheduled start date,oui,Extract / planned date
,date de fin daudit planifiée,OE,date de fin d'audit planifié,10/9/2025,2/3/2025,4/2/2025,15/1/2025,JJ/MM/AAA,tous,,,,,,SchedulingReport/Scheduled end date,,
,Auditeur,OE,Nom de l'auditeur,MrX,MrZ,MmeJ,MrX,texte,tous,,,,,,SchedulingReport/Team leader auditor,oui,Extract / auditor name
,Auditeur,OE,Prénom de l'auditeur,jean,Paul,Françoise,Jean,texte,tous,,,,,,SchedulingReport/Team leader auditor,oui,Extract / auditor name
,Plan d'audit,OE,Plan d'audit,,,,,document,Adhérent/OE,,,,,,,,
,Plan d'audit,OE,Date de transmission du plan d'audit,25/8/2025,25/2/2025,15/1/2025,,JJ/MM/AAA,tous,,,,,oui,SchedulingReport/info sent to client date,,
,Revue documentaire préparatoire,OE,Date de transmission de la liste de la revue documentaire préparatoire,25/8/2025,26/2/2025,15/1/2025,5/1/2025,JJ/MM/AAA,tous,,,,,oui,SchedulingReport/info sent to client date,,
,Revue documentaire préparatoire,adhérent,Date partage des documents de la revue documentaire préparatoire,1/9/2025,28/2/2025,29/02/2025,12/1/2025,JJ/MM/AAA,tous,,,,,oui,SchedulingReport/confirmed by client date,,
,Revue documentaire préparatoire,adhérent,Documents de la revue documentaire préparatoire,,,,,documents,Adhérent/OE,,,,,,,,
Audit,Date de début réelle de l'audit,OE,Date de début réelle de l'audit,10/9/2025,5/3/2025,4/2/2025,15/1/2025,JJ/MM/AAA,tous,,,,,oui,NonConformityReport/raised date,oui,Extrat / Real audit from
,Date de fin réelle de l'audit,OE,Date de fin réelle de l'audit,10/9/2025,6/3/2025,4/2/2025,15/1/2025,JJ/MM/AAA,tous,,,,,oui,NonConformityReport/Closed date,oui,Extrat / Real audit to
Traitement,Rapport d'audit,OE,Date de transmission du rapport d'audit,,2/4/2025,28/2/2025,31/1/2025,JJ/MM/AAA,tous,,,,,,,oui,Zeendoc
,Rapport d'audit,OE,Rapport d'audit,,,,,document,tous,,,,,,,oui,Zeendoc
,Rapport d'audit,OE,Performance globale,,75,87,68,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Gouvernance et Ethique,,,,,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Empreinte territoire,,,,,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Empreinte emploi,,,,,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Gestion et préservation de l'environnement,,,,,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Loyauté des pratiques le long de la chaine d valeur,,,,,%,tous,,,,,,,,
,Rapport d'audit,OE,Performance Prise en compte des attentes clients et consommateurs,,,,,%,tous,,,,,,,,
,Plan d'actions correctif,adhérent,Plan d'actions correctif,,,,,JJ/MM/AAA,tous,,,,,,,,
,Plan d'actions correctif,adhérent,Plan d'actions correctif,,,,,document,Adhérent/OE,,,,,,,,
,Avis de labellisation,OE,Date de transmission de l'avis de labellisation,,5/4/2025,1/3/2025,2/2/2025,JJ/MM/AAA,tous,,,,,,,,
,Avis de labellisation,OE,Avis ,,favorable,favorable,favorable,favorable / défavorable,tous,,,,,,,,
,Avis de labellisation,OE,Performance globale,,75,87,68,%,tous,,,,,,,,
,Avis de labellisation,OE,Absence de points bloquants,,oui,oui,oui,oui/non,tous,,,,,,,,
,Avis de labellisation,OE,Argumentaire,,,,,texte,tous,,,,,,,,
,Avis de labellisation,OE,Avis de labellisation,,,,,document,tous,,,,,,,,
Décision,Attestation de labellisation,FEEF,Date transmission de l'attestation de labellisation,,7/4/2025,8/3/2025,2/2/2025,JJ/MM/AAA,tous,,,,,,,,
,Attestation de labellisation,FEEF,Attestation de labellisation,,,,,document,Adhérent/FEEF,,,,,,,,
,Attestation de labellisation,FEEF,Date de validité,,5/4/2025,1/3/2025,10/2/2025,JJ/MM/AAA,tous,,,,,,,,
